rep,id,eta_U_offset,eta_L,eta_m,eta_e,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,9|411|sample|4|274,0,0,0,-0.99072,0,0,True,70.0|274,411
1,9|411|sample|3|274,0,0,0,-0.373631,0,0,True,70.0|274,411
1,9|411|sample|5|274,0,0,0,-1.23746,0,0,True,70.0|274,411
1,9|411|sample|6|274,0,0,0,-1.29904,0,0,True,70.0|274,411
1,9|411|sample|8|274,0,0,0,-0.735743,0,0,True,70.0|274,411
1,9|411|sample|7|274,0,0,0,-0.803486,0,0,True,70.0|274,411
1,9|411|sample|9|274,0,0,0,-1.06029,0,0,True,70.0|274,411
1,9|411|sample|10|274,0,0,0,-1.20002,0,0,True,70.0|274,411
1,9|411|sample|12|274,0,0,0,-0.943049,0,0,True,70.0|274,411
1,9|411|sample|11|274,0,0,0,-0.851637,0,0,True,70.0|274,411
1,9|411|cc|1|1|274,0,0,0,2.0233,0,0,False,69.0|274,411
1,9|411|cc|2|1|274,0,0,0,-1.33663,0,0,False,69.0|274,411
1,9|411|cc|3|1|274,0,0,0,3.47571,0,0,False,69.0|274,411
1,9|411|cc|4|1|274,0,0,0,6.52092,0,0,False,69.0|274,411
1,9|411|cc|5|1|274,0,0,0,-2.85306,0,0,False,69.0|274,411
1,9|411|cc|6|1|274,0,0,0,0.0550376,0,0,False,69.0|274,411
1,9|411|cc|7|1|274,0,0,0,-3.0713,0,0,False,69.0|274,411
1,9|411|cc|8|1|274,0,0,0,3.11316,0,0,False,69.0|274,411
1,9|411|vc|1|2|274,0,0,0,4.6799,0,0,False,69.0|274,411
1,9|411|vc|2|2|274,0,0,0,0.0896937,0,0,False,69.0|274,411
1,9|411|vc|3|2|274,0,0,0,2.79686,0,0,False,69.0|274,411
1,9|411|vc|4|2|274,0,0,0,-2.14896,0,0,False,69.0|274,411
1,9|411|vc|5|2|274,0,0,0,-1.18472,0,0,False,69.0|274,411
1,9|411|vc|6|2|274,0,0,0,2.57913,0,0,False,69.0|274,411
1,9|411|vc|7|2|274,0,0,0,1.46052,0,0,False,69.0|274,411
1,9|411|vc|8|2|274,0,0,0,-1.4853,0,0,False,69.0|274,411
1,14|783|sample|3|71,0,0,0,-5.24381,0,0,True,6.0|71,783
1,14|783|sample|4|71,0,0,0,-5.15132,0,0,True,6.0|71,783
1,14|783|sample|5|71,0,0,0,-4.28613,0,0,True,6.0|71,783
1,14|783|sample|6|71,0,0,0,-4.35689,0,0,True,6.0|71,783
1,14|783|sample|7|71,0,0,0,1.30245,0,0,True,6.0|71,783
1,14|783|sample|8|71,0,0,0,1.01536,0,0,True,6.0|71,783
