rep,id,U_offset,L,m,e,alpha,k,goes_down,mab_virus,run_id
1,9|411|sample|4|274,0.00103117,446.806,1.26465,1.80044,2805.84,11.1176,True,70.0|274,411
1,9|411|sample|3|274,0.00103117,446.806,1.46343,2.46959,2805.84,11.1176,True,70.0|274,411
1,9|411|sample|5|274,0.00103117,446.806,1.25917,1.75422,2805.84,11.1176,True,70.0|274,411
1,9|411|sample|6|274,0.00103117,446.806,1.20783,1.98706,2805.84,11.1176,True,70.0|274,411
1,9|411|sample|8|274,0.00103117,446.806,1.48127,2.01077,2805.84,11.1176,True,70.0|274,411
1,9|411|sample|7|274,0.00103117,446.806,1.22142,2.49796,2805.84,11.1176,True,70.0|274,411
1,9|411|sample|9|274,0.00103117,446.806,1.47243,1.41985,2805.84,11.1176,True,70.0|274,411
1,9|411|sample|10|274,0.00103117,446.806,1.51649,1.45506,2805.84,11.1176,True,70.0|274,411
1,9|411|sample|12|274,0.00103117,446.806,1.39652,2.22333,2805.84,11.1176,True,70.0|274,411
1,9|411|sample|11|274,0.00103117,446.806,1.26303,2.76508,2805.84,11.1176,True,70.0|274,411
1,9|411|cc|1|1|274,0.00103117,446.806,2.23737,0.000307318,2805.84,11.1176,False,69.0|274,411
1,9|411|cc|2|1|274,0.00103117,446.806,2.14397,0.00102669,2805.84,11.1176,False,69.0|274,411
1,9|411|cc|3|1|274,0.00103117,446.806,2.37883,0.021649,2805.84,11.1176,False,69.0|274,411
1,9|411|cc|4|1|274,0.00103117,446.806,2.45143,0.00231938,2805.84,11.1176,False,69.0|274,411
1,9|411|cc|5|1|274,0.00103117,446.806,2.17405,0.0140911,2805.84,11.1176,False,69.0|274,411
1,9|411|cc|6|1|274,0.00103117,446.806,2.46834,0.000126293,2805.84,11.1176,False,69.0|274,411
1,9|411|cc|7|1|274,0.00103117,446.806,1.71426,0.00223031,2805.84,11.1176,False,69.0|274,411
1,9|411|cc|8|1|274,0.00103117,446.806,2.07594,0.0259302,2805.84,11.1176,False,69.0|274,411
1,9|411|vc|1|2|274,0.00103117,446.806,2.1736,0.00125568,2805.84,11.1176,False,69.0|274,411
1,9|411|vc|2|2|274,0.00103117,446.806,2.49073,0.00653098,2805.84,11.1176,False,69.0|274,411
1,9|411|vc|3|2|274,0.00103117,446.806,1.53283,0.0010759,2805.84,11.1176,False,69.0|274,411
1,9|411|vc|4|2|274,0.00103117,446.806,1.28714,0.00276482,2805.84,11.1176,False,69.0|274,411
1,9|411|vc|5|2|274,0.00103117,446.806,1.79987,0.0219368,2805.84,11.1176,False,69.0|274,411
1,9|411|vc|6|2|274,0.00103117,446.806,1.58871,0.00240194,2805.84,11.1176,False,69.0|274,411
1,9|411|vc|7|2|274,0.00103117,446.806,2.33277,0.0463104,2805.84,11.1176,False,69.0|274,411
1,9|411|vc|8|2|274,0.00103117,446.806,1.04159,0.0120021,2805.84,11.1176,False,69.0|274,411
1,14|783|sample|3|71,0.00103117,446.806,0.686418,0.0813651,2805.84,11.1176,True,6.0|71,783
1,14|783|sample|4|71,0.00103117,446.806,0.636006,0.106967,2805.84,11.1176,True,6.0|71,783
1,14|783|sample|5|71,0.00103117,446.806,0.792602,0.23209,2805.84,11.1176,True,6.0|71,783
1,14|783|sample|6|71,0.00103117,446.806,0.679925,0.275944,2805.84,11.1176,True,6.0|71,783
1,14|783|sample|7|71,0.00103117,446.806,1.08211,19.4779,2805.84,11.1176,True,6.0|71,783
1,14|783|sample|8|71,0.00103117,446.806,1.28218,17.5267,2805.84,11.1176,True,6.0|71,783
1,14|783|sample|10|71,0.00103117,446.806,0.713591,0.0908619,2805.84,11.1176,True,6.0|71,783
1,14|783|sample|9|71,0.00103117,446.806,0.847592,0.0594172,2805.84,11.1176,True,6.0|71,783
1,14|783|sample|12|71,0.00103117,446.806,1.44643,45.0845,2805.84,11.1176,True,6.0|71,783
