id,eta_U_offset_SAEM,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_offset_mode,eta_L_mode,eta_m_mode,eta_e_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
9|411|sample|4|274,0,0,-1.12892,0,0,0,0,0,-1.11603,0,0,0,True,70.0|274,411
9|411|sample|3|274,0,0,-0.936948,0,0,0,0,0,-0.908744,0,0,0,True,70.0|274,411
9|411|sample|5|274,0,0,-1.30375,0,0,0,0,0,-1.26503,0,0,0,True,70.0|274,411
9|411|sample|6|274,0,0,-1.25184,0,0,0,0,0,-1.23587,0,0,0,True,70.0|274,411
9|411|sample|8|274,0,0,-1.02657,0,0,0,0,0,-1.02484,0,0,0,True,70.0|274,411
9|411|sample|7|274,0,0,-0.996743,0,0,0,0,0,-1.00421,0,0,0,True,70.0|274,411
9|411|sample|9|274,0,0,-1.23506,0,0,0,0,0,-1.21056,0,0,0,True,70.0|274,411
9|411|sample|10|274,0,0,-1.29777,0,0,0,0,0,-1.27282,0,0,0,True,70.0|274,411
9|411|sample|12|274,0,0,-1.03229,0,0,0,0,0,-1.02385,0,0,0,True,70.0|274,411
9|411|sample|11|274,0,0,-1.03575,0,0,0,0,0,-1.01479,0,0,0,True,70.0|274,411
9|411|cc|1|1|274,0,0,0.0299313,0,0,0,0,0,2.64252e-07,0,0,0,False,69.0|274,411
9|411|cc|2|1|274,0,0,0.0525382,0,0,0,0,0,7.07788e-08,0,0,0,False,69.0|274,411
9|411|cc|3|1|274,0,0,-0.0832575,0,0,0,0,0,3.14387e-08,0,0,0,False,69.0|274,411
9|411|cc|4|1|274,0,0,0.138512,0,0,0,0,0,7.60464e-08,0,0,0,False,69.0|274,411
9|411|cc|5|1|274,0,0,-0.124162,0,0,0,0,0,-1.48621e-07,0,0,0,False,69.0|274,411
9|411|cc|6|1|274,0,0,0.0299053,0,0,0,0,0,3.38075e-08,0,0,0,False,69.0|274,411
9|411|cc|7|1|274,0,0,0.0343179,0,0,0,0,0,-2.31189e-07,0,0,0,False,69.0|274,411
9|411|cc|8|1|274,0,0,0.0630435,0,0,0,0,0,-2.26699e-07,0,0,0,False,69.0|274,411
9|411|vc|1|2|274,0,0,0.0133669,0,0,0,0,0,-1.23144e-07,0,0,0,False,69.0|274,411
9|411|vc|2|2|274,0,0,0.148293,0,0,0,0,0,1.54922e-07,0,0,0,False,69.0|274,411
9|411|vc|3|2|274,0,0,0.196984,0,0,0,0,0,2.15506e-07,0,0,0,False,69.0|274,411
